id,name,city_id
res_country_district_327,石碣镇,东莞市
res_country_district_328,石龙镇,东莞市
res_country_district_329,石排镇,东莞市
res_country_district_330,塘厦镇,东莞市
res_country_district_331,莞城区,东莞市
res_country_district_332,万江区,东莞市
res_country_district_333,望牛墩镇,东莞市
res_country_district_334,谢岗镇,东莞市
res_country_district_335,樟木头镇,东莞市
res_country_district_336,中堂镇,东莞市
res_country_district_337,禅城区,佛山市
res_country_district_338,高明区,佛山市
res_country_district_339,南海区,佛山市
res_country_district_340,三水区,佛山市
res_country_district_341,顺德区,佛山市
res_country_district_342,白云区,广州市
res_country_district_343,从化区,广州市
res_country_district_344,番禺区,广州市
res_country_district_345,海珠区,广州市
res_country_district_346,花都区,广州市
res_country_district_347,黄埔区,广州市
res_country_district_348,荔湾区,广州市
res_country_district_349,南沙区,广州市
res_country_district_350,天河区,广州市
res_country_district_351,越秀区,广州市
res_country_district_352,增城区,广州市
res_country_district_353,东源县,河源市
res_country_district_354,和平县,河源市
res_country_district_355,连平县,河源市
res_country_district_356,龙川县,河源市
res_country_district_357,源城区,河源市
res_country_district_358,紫金县,河源市
res_country_district_359,博罗县,惠州市
res_country_district_360,惠城区,惠州市
res_country_district_361,惠东县,惠州市
res_country_district_362,惠阳区,惠州市
res_country_district_363,龙门县,惠州市
res_country_district_364,恩平市,江门市
res_country_district_365,鹤山市,江门市
res_country_district_366,江海区,江门市
res_country_district_367,开平市,江门市
res_country_district_368,蓬江区,江门市
res_country_district_369,台山市,江门市
res_country_district_370,新会区,江门市
res_country_district_371,惠来县,揭阳市
res_country_district_372,揭东区,揭阳市
res_country_district_373,揭西县,揭阳市
res_country_district_374,普宁市,揭阳市
res_country_district_375,榕城区,揭阳市
res_country_district_376,电白区,茂名市
res_country_district_377,高州市,茂名市
res_country_district_378,化州市,茂名市
res_country_district_379,茂南区,茂名市
res_country_district_380,信宜市,茂名市
res_country_district_381,大埔县,梅州市
res_country_district_382,丰顺县,梅州市
res_country_district_383,蕉岭县,梅州市
res_country_district_384,梅江区,梅州市
res_country_district_385,梅县区,梅州市
res_country_district_386,平远县,梅州市
res_country_district_387,五华县,梅州市
res_country_district_388,兴宁市,梅州市
res_country_district_389,佛冈县,清远市
res_country_district_390,连南瑶族自治县,清远市
res_country_district_391,连山壮族瑶族自治县,清远市
res_country_district_392,连州市,清远市
res_country_district_393,清城区,清远市
res_country_district_394,清新区,清远市
res_country_district_395,阳山县,清远市
res_country_district_396,英德市,清远市
res_country_district_397,潮南区,汕头市
res_country_district_398,潮阳区,汕头市
res_country_district_399,澄海区,汕头市
res_country_district_400,濠江区,汕头市
res_country_district_401,金平区,汕头市
res_country_district_402,龙湖区,汕头市
res_country_district_403,南澳县,汕头市
res_country_district_404,城区,汕尾市
res_country_district_405,海丰县,汕尾市
res_country_district_406,陆丰市,汕尾市
res_country_district_407,陆河县,汕尾市
res_country_district_408,乐昌市,韶关市
res_country_district_409,南雄市,韶关市
res_country_district_410,曲江区,韶关市
res_country_district_411,仁化县,韶关市
res_country_district_412,乳源瑶族自治县,韶关市
res_country_district_413,始兴县,韶关市
res_country_district_414,翁源县,韶关市
res_country_district_415,武江区,韶关市
res_country_district_416,新丰县,韶关市
res_country_district_417,浈江区,韶关市
res_country_district_418,宝安区,深圳市
res_country_district_419,大鹏新区,深圳市
res_country_district_420,福田区,深圳市
res_country_district_421,光明新区,深圳市
res_country_district_422,龙岗区,深圳市
res_country_district_423,龙华新区,深圳市
res_country_district_424,罗湖区,深圳市
res_country_district_425,南山区,深圳市
res_country_district_426,坪山新区,深圳市
res_country_district_427,盐田区,深圳市
res_country_district_428,江城区,阳江市
res_country_district_429,阳春市,阳江市
res_country_district_430,阳东区,阳江市
res_country_district_431,阳西县,阳江市
res_country_district_432,罗定市,云浮市
res_country_district_433,新兴县,云浮市
res_country_district_434,郁南县,云浮市
res_country_district_435,云安区,云浮市
res_country_district_436,云城区,云浮市
res_country_district_437,赤坎区,湛江市
res_country_district_438,雷州市,湛江市
res_country_district_439,廉江市,湛江市
res_country_district_440,麻章区,湛江市
res_country_district_441,坡头区,湛江市
res_country_district_442,遂溪县,湛江市
res_country_district_443,吴川市,湛江市
res_country_district_444,霞山区,湛江市
res_country_district_445,徐闻县,湛江市
res_country_district_446,德庆县,肇庆市
res_country_district_447,鼎湖区,肇庆市
res_country_district_448,端州区,肇庆市
res_country_district_449,封开县,肇庆市
res_country_district_450,高要市,肇庆市
res_country_district_451,广宁县,肇庆市
res_country_district_452,怀集县,肇庆市
res_country_district_453,四会市,肇庆市
res_country_district_454,板芙镇,中山市
res_country_district_455,大涌镇,中山市
res_country_district_456,东凤镇,中山市
res_country_district_457,东升镇,中山市
res_country_district_458,阜沙镇,中山市
res_country_district_459,港口镇,中山市
res_country_district_460,古镇镇,中山市
res_country_district_461,横栏镇,中山市
res_country_district_462,黄圃镇,中山市
res_country_district_463,火炬开发区,中山市
res_country_district_464,民众镇,中山市
res_country_district_465,南朗镇,中山市
res_country_district_466,南区,中山市
res_country_district_467,南头镇,中山市
res_country_district_468,三角镇,中山市
res_country_district_469,三乡镇,中山市
res_country_district_470,沙溪镇,中山市
res_country_district_471,神湾镇,中山市
res_country_district_472,石岐区,中山市
res_country_district_473,坦洲镇,中山市
res_country_district_474,五桂山区,中山市
res_country_district_475,小榄镇,中山市
res_country_district_476,斗门区,珠海市
res_country_district_477,金湾区,珠海市
res_country_district_478,香洲区,珠海市
res_country_district_479,德保县,百色市
res_country_district_480,靖西县,百色市
res_country_district_481,乐业县,百色市
res_country_district_482,凌云县,百色市
res_country_district_483,隆林各族自治县,百色市
res_country_district_484,那坡县,百色市
res_country_district_485,平果县,百色市
res_country_district_486,田东县,百色市
res_country_district_487,田林县,百色市
res_country_district_488,田阳县,百色市
res_country_district_489,西林县,百色市
res_country_district_490,右江区,百色市
res_country_district_491,海城区,北海市
res_country_district_492,合浦县,北海市
res_country_district_493,铁山港区,北海市
res_country_district_494,银海区,北海市
res_country_district_495,大新县,崇左市
res_country_district_496,扶绥县,崇左市
res_country_district_497,江州区,崇左市
res_country_district_498,龙州县,崇左市
res_country_district_499,宁明县,崇左市
res_country_district_500,凭祥市,崇左市
res_country_district_501,天等县,崇左市
res_country_district_502,东兴市,防城港市
res_country_district_503,防城区,防城港市
res_country_district_504,港口区,防城港市
res_country_district_505,上思县,防城港市
res_country_district_506,港北区,贵港市
res_country_district_507,港南区,贵港市
res_country_district_508,桂平市,贵港市
res_country_district_509,平南县,贵港市
res_country_district_510,覃塘区,贵港市
res_country_district_511,叠彩区,桂林市
res_country_district_512,恭城瑶族自治县,桂林市
res_country_district_513,灌阳县,桂林市
res_country_district_514,荔浦县,桂林市
res_country_district_515,临桂区,桂林市
res_country_district_516,灵川县,桂林市
res_country_district_517,龙胜各族自治县,桂林市
res_country_district_518,平乐县,桂林市
res_country_district_519,七星区,桂林市
res_country_district_520,全州县,桂林市
res_country_district_521,象山区,桂林市
res_country_district_522,兴安县,桂林市
res_country_district_523,秀峰区,桂林市
res_country_district_524,雁山区,桂林市
res_country_district_525,阳朔县,桂林市
res_country_district_526,永福县,桂林市
res_country_district_527,资源县,桂林市
res_country_district_528,巴马瑶族自治县,河池市
res_country_district_529,大化瑶族自治县,河池市
res_country_district_530,东兰县,河池市
res_country_district_531,都安瑶族自治县,河池市
res_country_district_532,凤山县,河池市
res_country_district_533,环江毛南族自治县,河池市
res_country_district_534,金城江区,河池市
res_country_district_535,罗城仫佬族自治县,河池市
res_country_district_536,南丹县,河池市
res_country_district_537,天峨县,河池市
res_country_district_538,宜州市,河池市
res_country_district_539,八步区,贺州市
res_country_district_540,富川瑶族自治县,贺州市
res_country_district_541,平桂管理区,贺州市
res_country_district_542,昭平县,贺州市
res_country_district_543,钟山县,贺州市
res_country_district_544,合山市,来宾市
res_country_district_545,金秀瑶族自治县,来宾市
res_country_district_546,武宣县,来宾市
res_country_district_547,象州县,来宾市
res_country_district_548,忻城县,来宾市
res_country_district_549,兴宾区,来宾市
res_country_district_550,城中区,柳州市
res_country_district_551,柳北区,柳州市
res_country_district_552,柳城县,柳州市
res_country_district_553,柳东新区,柳州市
res_country_district_554,柳江县,柳州市
res_country_district_555,柳南区,柳州市
res_country_district_556,鹿寨县,柳州市
res_country_district_557,融安县,柳州市
res_country_district_558,融水苗族自治县,柳州市
res_country_district_559,三江侗族自治县,柳州市
res_country_district_560,鱼峰区,柳州市
res_country_district_561,宾阳县,南宁市
res_country_district_562,横县,南宁市
res_country_district_563,江南区,南宁市
res_country_district_564,埌东新区,南宁市
res_country_district_565,良庆区,南宁市
res_country_district_566,隆安县,南宁市
res_country_district_567,马山县,南宁市
res_country_district_568,青秀区,南宁市
res_country_district_569,上林县,南宁市
res_country_district_570,武鸣县,南宁市
res_country_district_571,西乡塘区,南宁市
res_country_district_572,兴宁区,南宁市
res_country_district_573,邕宁区,南宁市
res_country_district_574,灵山县,钦州市
res_country_district_575,浦北县,钦州市
res_country_district_576,钦北区,钦州市
res_country_district_577,钦南区,钦州市
res_country_district_578,苍梧县,梧州市
res_country_district_579,岑溪市,梧州市
res_country_district_580,长洲区,梧州市
res_country_district_581,龙圩区,梧州市
res_country_district_582,蒙山县,梧州市
res_country_district_583,藤县,梧州市
res_country_district_584,万秀区,梧州市
res_country_district_585,北流市,玉林市
res_country_district_586,博白县,玉林市
res_country_district_587,福绵区,玉林市
res_country_district_588,陆川县,玉林市
res_country_district_589,容县,玉林市
res_country_district_590,兴业县,玉林市
res_country_district_591,玉东新区,玉林市
res_country_district_592,玉州区,玉林市
res_country_district_593,关岭布依族苗族自治县,安顺市
res_country_district_594,平坝区,安顺市
res_country_district_595,普定县,安顺市
res_country_district_596,西秀区,安顺市
res_country_district_597,镇宁布依族苗族自治县,安顺市
res_country_district_598,紫云苗族布依族自治县,安顺市
res_country_district_599,大方县,毕节市
res_country_district_600,赫章县,毕节市
res_country_district_601,金沙县,毕节市
res_country_district_602,纳雍县,毕节市
res_country_district_603,七星关区,毕节市
res_country_district_604,黔西县,毕节市
res_country_district_605,威宁彝族回族苗族自治县,毕节市
res_country_district_606,织金县,毕节市
res_country_district_607,白云区,贵阳市
res_country_district_608,观山湖区,贵阳市
res_country_district_609,花溪区,贵阳市
res_country_district_610,开阳县,贵阳市
res_country_district_611,南明区,贵阳市
res_country_district_612,清镇市,贵阳市
res_country_district_613,乌当区,贵阳市
res_country_district_614,息烽县,贵阳市
res_country_district_615,修文县,贵阳市
res_country_district_616,云岩区,贵阳市
res_country_district_617,六枝特区,六盘水市
res_country_district_618,盘县,六盘水市
res_country_district_619,水城县,六盘水市
res_country_district_620,钟山区,六盘水市
res_country_district_621,岑巩县,黔东南苗族侗族自治州
res_country_district_622,从江县,黔东南苗族侗族自治州
res_country_district_623,丹寨县,黔东南苗族侗族自治州
res_country_district_624,黄平县,黔东南苗族侗族自治州
res_country_district_625,剑河县,黔东南苗族侗族自治州
res_country_district_626,锦屏县,黔东南苗族侗族自治州
res_country_district_627,凯里市,黔东南苗族侗族自治州
res_country_district_628,雷山县,黔东南苗族侗族自治州
res_country_district_629,黎平县,黔东南苗族侗族自治州
res_country_district_630,麻江县,黔东南苗族侗族自治州
res_country_district_631,榕江县,黔东南苗族侗族自治州
res_country_district_632,三穗县,黔东南苗族侗族自治州
res_country_district_633,施秉县,黔东南苗族侗族自治州
res_country_district_634,台江县,黔东南苗族侗族自治州
res_country_district_635,天柱县,黔东南苗族侗族自治州
res_country_district_636,镇远县,黔东南苗族侗族自治州
res_country_district_637,长顺县,黔南布依族苗族自治州
res_country_district_638,都匀市,黔南布依族苗族自治州
res_country_district_639,独山县,黔南布依族苗族自治州
res_country_district_640,福泉市,黔南布依族苗族自治州
res_country_district_641,贵定县,黔南布依族苗族自治州
res_country_district_642,惠水县,黔南布依族苗族自治州
res_country_district_643,荔波县,黔南布依族苗族自治州
res_country_district_644,龙里县,黔南布依族苗族自治州
res_country_district_645,罗甸县,黔南布依族苗族自治州
res_country_district_646,平塘县,黔南布依族苗族自治州
res_country_district_647,三都水族自治县,黔南布依族苗族自治州
res_country_district_648,瓮安县,黔南布依族苗族自治州
res_country_district_649,安龙县,黔西南布依族苗族自治州
res_country_district_650,册亨县,黔西南布依族苗族自治州
res_country_district_651,普安县,黔西南布依族苗族自治州
res_country_district_652,晴隆县,黔西南布依族苗族自治州
res_country_district_653,望谟县,黔西南布依族苗族自治州
res_country_district_654,兴仁县,黔西南布依族苗族自治州
res_country_district_655,兴义市 ,黔西南布依族苗族自治州
res_country_district_656,贞丰县,黔西南布依族苗族自治州
res_country_district_657,碧江区,铜仁市
res_country_district_658,德江县,铜仁市
res_country_district_659,江口县,铜仁市
res_country_district_660,石阡县,铜仁市
res_country_district_661,思南县,铜仁市
res_country_district_662,松桃苗族自治县,铜仁市
res_country_district_663,万山区,铜仁市
res_country_district_664,沿河土家族自治县,铜仁市
res_country_district_665,印江土家族苗族自治县,铜仁市
res_country_district_666,玉屏侗族自治县,铜仁市
res_country_district_667,赤水市,遵义市
res_country_district_668,道真仡佬族苗族自治县,遵义市
res_country_district_669,凤冈县,遵义市
res_country_district_670,红花岗区,遵义市
res_country_district_671,汇川区,遵义市
res_country_district_672,湄潭县,遵义市
res_country_district_673,仁怀市,遵义市
res_country_district_674,绥阳县,遵义市
res_country_district_675,桐梓县,遵义市
res_country_district_676,务川仡佬族苗族自治县,遵义市
res_country_district_677,习水县,遵义市
res_country_district_678,余庆县,遵义市
res_country_district_679,正安县,遵义市
res_country_district_680,遵义县,遵义市
res_country_district_681,龙华区,海口市
res_country_district_682,美兰区,海口市
res_country_district_683,琼山区,海口市
res_country_district_684,秀英区,海口市
res_country_district_685,南沙群岛,三沙市
res_country_district_686,西沙群岛,三沙市
res_country_district_687,中沙群岛,三沙市
res_country_district_688,海棠区,三亚市
res_country_district_689,吉阳区,三亚市
res_country_district_690,天涯区,三亚市
res_country_district_691,崖州区,三亚市
res_country_district_692,白沙黎族自治县,直辖县级
res_country_district_693,保亭黎族苗族自治县,直辖县级
res_country_district_694,昌江黎族自治县,直辖县级
res_country_district_695,澄迈县,直辖县级
res_country_district_696,儋州市,直辖县级
res_country_district_697,定安县,直辖县级
res_country_district_698,东方市,直辖县级
res_country_district_699,乐东黎族自治县,直辖县级
res_country_district_700,临高县,直辖县级
res_country_district_701,陵水黎族自治县,直辖县级
res_country_district_702,琼海市,直辖县级
res_country_district_703,琼中黎族苗族自治县,直辖县级
res_country_district_704,屯昌县,直辖县级
res_country_district_705,万宁市,直辖县级
res_country_district_706,文昌市,直辖县级
res_country_district_707,五指山市,直辖县级
res_country_district_708,安国市,保定市
res_country_district_709,安新县,保定市
res_country_district_710,北市区,保定市
res_country_district_711,博野县,保定市
res_country_district_712,定兴县,保定市
res_country_district_713,定州市,保定市
res_country_district_714,阜平县,保定市
res_country_district_715,高碑店市,保定市
res_country_district_716,高阳县,保定市
res_country_district_717,涞水县,保定市
res_country_district_718,涞源县,保定市
res_country_district_719,蠡县,保定市
res_country_district_720,满城县,保定市
res_country_district_721,南市区,保定市
res_country_district_722,清苑县,保定市
res_country_district_723,曲阳县,保定市
res_country_district_724,容城县,保定市
res_country_district_725,顺平县,保定市
res_country_district_726,唐县,保定市
res_country_district_727,望都县,保定市
res_country_district_728,新市区,保定市
res_country_district_729,雄县,保定市
res_country_district_730,徐水县,保定市
res_country_district_731,易县,保定市
res_country_district_732,涿州市,保定市
res_country_district_733,泊头市,沧州市
res_country_district_734,沧县,沧州市
res_country_district_735,东光县,沧州市
res_country_district_736,海兴县,沧州市
res_country_district_737,河间市,沧州市
res_country_district_738,黄骅市,沧州市
res_country_district_739,孟村回族自治县,沧州市
res_country_district_740,南皮县,沧州市
res_country_district_741,青县,沧州市
res_country_district_742,任丘市,沧州市
res_country_district_743,肃宁县,沧州市
