id,name,usage,location_id
stock_location_117,新筑铁路库,内部位置,Physical Locations/XZTLK
stock_location_118,西安福特中转库,内部位置,Physical Locations/FTZZK
stock_location_119,西安福特待发区,内部位置,Physical Locations/FTDFQ
stock_location_120,新筑线边库待装区,内部位置,Physical Locations/XZXBK
stock_location_121,长安福特库,内部位置,Physical Locations/CAFTK
stock_location_200,库1,内部位置,Physical Locations/VDC/重庆长安福特VDC库
stock_location_201,库2,内部位置,Physical Locations/VDC/重庆长安福特VDC库
stock_location_202,入库位置,内部位置,Physical Locations/TJCXB/团结村线边库
stock_location_203,加固位置,内部位置,Physical Locations/TJCZ/团结村站
stock_location_204,团结村二线库房,内部位置,Physical Locations/TJCZ/团结村站/加固位置
stock_location_205,团结村三线库房,内部位置,Physical Locations/TJCZ/团结村站/加固位置
stock_location_206,团结村五线库房,内部位置,Physical Locations/TJCZ/团结村站/加固位置
stock_location_207,解固位置,内部位置,Physical Locations/SPZ/三枰站
stock_location_208,入库位置,内部位置,Physical Locations/SPZXB/三枰站线边库
stock_location_209,加固位置,内部位置,Physical Locations/SPZ/三枰站
stock_location_210,解固位置,内部位置,Physical Locations/AKSZ/阿克苏站
stock_location_211,入库位置,内部位置,Physical Locations/AKSXB/阿克苏线边库
stock_location_212,入库位置,内部位置,Physical Locations/TJT/唐家沱
stock_location_213,加固位置,内部位置,Physical Locations/TJT/唐家沱
stock_location_214,装车位置,内部位置,Physical Locations/TJT/唐家沱
stock_location_215,解固位置,内部位置,Physical Locations/LSXZ/拉萨西站
stock_location_216,入库位置,内部位置,Physical Locations/LSXHC/拉萨西货场
stock_location_217,出库位置,内部位置,Physical Locations/CAFTK/长安福特库
stock_location_218,解固位置,内部位置,Physical Locations/QDXZ/祁东西站
stock_location_219,解固位置,内部位置,Physical Locations/WJYXZ/王家营西站
stock_location_220,入库位置,内部位置,Physical Locations/WJYXZ/王家营西站
stock_location_221,入库位置,内部位置,Physical Locations/WJYHC/王家营西货场
stock_location_222,解固位置,内部位置,Physical Locations/DJZZ/党家庄站
stock_location_223,入库位置,内部位置,Physical Locations/LEZKF/罗而庄库房
stock_location_224,解固位置,内部位置,Physical Locations/XZZ/新筑站
stock_location_225,入库位置,内部位置,Physical Locations/XZTLK/新筑铁路库
stock_location_226,入库位置,内部位置,Physical Locations/FTZZK/西安福特中转库
stock_location_227,出库位置,内部位置,Physical Locations/FTDFQ/西安福特待发区
stock_location_10000,红河万福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10001,大理万福汽车销售服务有限公司保山分公司,客户位置,Partner Locations/Customers
stock_location_10002,新疆福凌汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10003,新疆天汇福达汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10004,新疆龙泽源汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10005,阿克苏秋林汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10006,新疆福瑞行汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10007,奎屯大华远宏汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10008,喀什永祥宝通汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10009,哈密市天阅汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10010,新疆福荣汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10011,巴州龙跃汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10012,新疆海利皓通汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10013,伊犁福鼎汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10014,拉萨康达汽贸有限责任公司 ,客户位置,Partner Locations/Customers
stock_location_10015,西昌祥和汽车销售服务有限责任公司,客户位置,Partner Locations/Customers
stock_location_10016,攀枝花永福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10017,陕西福盈汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10018,陕西福迪汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10019,陕西福跃汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10020,西安福新汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10021,陕西福秦汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10022,陕西福腾汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10023,陕西幸福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10024,渭南市福海汽车服务有限公司,客户位置,Partner Locations/Customers
stock_location_10025,陕西亿禾汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10026,宝鸡市福信汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10027,陕西嘉福圆汽车贸易服务有限公司,客户位置,Partner Locations/Customers
stock_location_10028,延安蓝天福海汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10029,榆林市东方集团有限公司,客户位置,Partner Locations/Customers
stock_location_10030,榆林永盛汽贸有限公司,客户位置,Partner Locations/Customers
stock_location_10031,山东福特福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10032,潍坊冠成汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10033,山东顺骋汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10034,滨州和润汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10035,潍坊天盛汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10036,滨州泰瑞福汽车有限公司,客户位置,Partner Locations/Customers
stock_location_10037,淄博鑫汇汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10038,寿光富赢汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10039,济南祥福汽车服务有限公司,客户位置,Partner Locations/Customers
stock_location_10040,邹平德坤汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10041,淄博锦骋汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10042,东营泰瑞福汽车有限公司,客户位置,Partner Locations/Customers
stock_location_10043,济南信达通福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10044,德州福特骏汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10045,山东省金顺骋汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10046,山东合佳福汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10047,东营泰福汽车有限公司,客户位置,Partner Locations/Customers
stock_location_10048,青州富盈汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10049,青海金岛长福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10050,青海嘉悦汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10051,宁夏万易福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10052,宁夏福立升汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10053,宁夏金岛长福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10054,宁夏万易安汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10055,巴彦淖尔市利丰泰迪汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10056,包头市金福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10057,鄂尔多斯市福鑫诚汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10058,呼和浩特市耀世美福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10059,内蒙古泰迪汽车服务有限公司,客户位置,Partner Locations/Customers
stock_location_10060,内蒙古利丰庆宇汽车服务有限公司,客户位置,Partner Locations/Customers
stock_location_10061,郴州大汉汽车贸易有限公司,客户位置,Partner Locations/Customers
stock_location_10062,株洲蓝福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10063,湖南华隆汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10064,湖南丰泽汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10065,长沙力天汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10066,衡阳天禧汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10067,浏阳津湘华特汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10068,湘潭腾飞福来特汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10069,湘潭美腾汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10070,邵阳市宝华汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10071,湖南华达汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10072,邵阳宝迪汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10073,益阳市骏和汽车贸易投资有限责任公司,客户位置,Partner Locations/Customers
stock_location_10074,娄底市津湘汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10075,湖南力天汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10076,株洲宏福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10077,郴州中天汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10078,永州腾飞湘福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10079,湖南力天福驻汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10080,宁乡津湘华沩汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10081,湖南永通永利汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10082,兰州赛福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10083,兰州金岛长福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10084,兰州永泰汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10085,天水福汇达汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10086,庆阳志达汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10087,白银良志汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10088,定西恒信美华汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10089,平凉恒信美华汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10090,张掖宝之福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10091,武威腾瀚汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10092,嘉峪关良志汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10093,北京北方长福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10094,北京北方长福汽车销售有限责任公司昌平分公司,客户位置,Partner Locations/Customers
stock_location_10095,北京亚奥福瑞汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10096,北京陆鼎汽车商行,客户位置,Partner Locations/Customers
stock_location_10097,北京庞大亚航汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10098,北京华中汽车服务中心,客户位置,Partner Locations/Customers
stock_location_10099,北京新兴福庆汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10100,北京北方福瑞汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10101,北京百旺长福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10102,北京中进万国汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10103,北京中汽福瑞汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10104,北京博瑞裕丰汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10105,北京福通高盛汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10106,北京排山宏福汽车销售有限公司,客户位置,Partner Locations/Customers
stock_location_10107,北京长久博鑫汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10108,楚雄万福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10109,云南万福汽车销售服务有限公司,客户位置,Partner Locations/Customers
stock_location_10110,云南曲靖安特经贸有限公司,客户位置,Partner Locations/Customers
stock_location_10111,云南西双版纳景洪景福,客户位置,Partner Locations/Customers
